month_id,orders_budget,sale_qty_budget,sale_amt_budget,sessions_budget
202401,57789.2438,,8158508.135,4579329.834
202402,67734.20884,,9501573.652,5540327.685
202403,48425.96943,,6936758.761,3849002.639
202404,53096.69015,,7602622.378,4240705.835
202405,61223.70722,,8880531.648,4944772.267
202406,61596.02002,,8530954.486,4426612.402
202407,65124.35895,,8889189.455,4788050.697
202408,80654.54976,,12160477.05,5840210.59
202409,65885.60724,,10086953.21,5504255.502
202410,120940.3668,,18463006.99,7555644.503
202411,251576.505,,35727964.95,11488891.01
202412,85551.77281,,11537612.58,5851468.035
202501,79254.8851,211490.739,11137216.93,4855542.199
202502,95907.78038,243049.4301,13314988.58,6002842.787
202503,71337.59336,191624.1328,9884776.635,4555088.585
202504,69138.35405,192118.4069,9744675.995,4395453.611
202505,84620.58191,224713.2129,11740198.81,5208519.587
202506,95390.45382,277877.9172,12140752.59,5100689.179
202507,89579.65976,232376.8975,12088277.94,5162960.342
202508,113548.4565,319821.4908,16250913.35,6597008.682
202509,97369.53733,224185.7779,13966761.52,5821303.246
202510,175251.784,402950.8504,26209830.42,8796919.639
202511,337167.3069,962782.3896,45033157.29,12933452.44
202512,114626.4399,258787.1911,14451599.59,6500950.324