source_file_name,price_list_type
Appy Days Tees & Active 11.7.24-11.8.24.xlsx,promo
Flash Styles Promo Updates 9.22.24.xlsx,promo
Tee Promo Update 5.11.24.xlsx,promo
Appy Days Tees & Active 11.7.24-11.8.24.xlsx,promo
Winter Flash Sale 1.24.25.xlsx,promo
20% Off Shorts List 4.19.24.xlsx,promo
Tee Flash Sale 1.17.25.xlsx,promo
Promo Update 6.15.24.xlsx,promo
Promo & Price Updates 5.24.24.xlsx,promo
Flash Sale Updates 6.13.24.xlsx,promo
Mystery Flash Sale 2.24.25.xlsx,promo
One Site Pricing 8.19.24 Flash Sale.xlsx,promo
One Site Pricing Tee Flash Sale 1.17.25.xlsx,promo